RE,chp,state,city,fuel,technology,id,capacity_n,capacity_g,chp_capaci,efficiency,Efficien_2
DE12,yes,Baden-W?rttemberg,Stuttgart,Natural gas,Steam turbine,BNA1333b,11.3,0.0,0.0,0.0,0.35
DE12,yes,Baden-W?rttemberg,Stuttgart,Natural gas,Steam turbine,BNA1333c,11.6,0.0,0.0,0.0,0.35
DE12,yes,Baden-W?rttemberg,Stuttgart,Waste,Steam turbine,BNA0939a,19.5,20.7,0.0,0.0,0.33
DE12,yes,Baden-W?rttemberg,T?bingen,Natural gas,Steam turbine,BNA0957,13.4,0.0,0.0,0.0,0.39
DE12,yes,Baden-W?rttemberg,Ulm,Biomass and biogas,Steam turbine,BNA1405b,8.7,0.0,0.0,0.0,0.38
DE12,yes,Baden-W?rttemberg,Ulm,Biomass and biogas,Steam turbine,BNA1405c,4.5,0.0,0.0,0.0,0.38
DE12,yes,Baden-W?rttemberg,Ulm,Hard coal,Steam turbine,BNA1405a,20.7,0.0,0.0,0.0,0.37
DE12,yes,Rheinland-Pfalz,Ludwigshafen,Other fossil fuels,Combined cycle,BNA0616b,56.0,127.0,280.0,0.0,0.33
DE12,yes,Rheinland-Pfalz,Ludwigshafen,Waste,Steam turbine,BNA0616a,12.0,0.0,0.0,0.0,0.33
DE13,no,Schleswig-Holstein,Brokdorf,Nuclear,Steam turbine,BNA0157,1410.0,1480.0,0.0,0.0,0.33
DE13,no,Schleswig-Holstein,Brunsb?ttel,Oil,Gas turbine,BNA0161,63.5,64.0,0.0,0.0,0.31
DE13,no,Schleswig-Holstein,Brunsb?ttel,Oil,Gas turbine,BNA0162,63.5,64.0,0.0,0.0,0.31
DE13,no,Schleswig-Holstein,Brunsb?ttel,Oil,Gas turbine,BNA0163,63.5,64.0,0.0,0.0,0.31
DE13,no,Schleswig-Holstein,Brunsb?ttel,Oil,Gas turbine,BNA0164,63.5,64.0,0.0,0.0,0.31
DE13,no,Schleswig-Holstein,Oldendorf,Oil,Steam turbine,BNA0759,88.0,0.0,0.0,0.0,0.35
DE13,no,Schleswig-Holstein,Osterr?nfeld,Oil,Steam turbine,BNA0766,87.0,0.0,0.0,0.0,0.36
DE13,yes,Schleswig-Holstein,Flensburg,Hard coal,Steam turbine,BNA0270,27.0,0.0,0.0,0.0,0.41
DE13,yes,Schleswig-Holstein,Flensburg,Hard coal,Steam turbine,BNA0271,29.0,0.0,0.0,0.0,0.4
DE13,yes,Schleswig-Holstein,Flensburg,Hard coal,Steam turbine,BNA0272,33.0,0.0,0.0,0.0,0.39
DE13,yes,Schleswig-Holstein,Flensburg,Hard coal,Steam turbine,BNA0273,35.0,0.0,0.0,0.0,0.38
DE13,yes,Schleswig-Holstein,Flensburg,Hard coal,Steam turbine,BNA0274,23.0,0.0,0.0,0.0,0.37
DE13,yes,Schleswig-Holstein,Flensburg,Oil,Steam turbine,BNA0269,30.0,0.0,0.0,0.0,0.36
DE13,yes,Schleswig-Holstein,Gl?ckstadt,Waste,Steam turbine,BNA1330,17.0,0.0,0.0,0.0,0.33
DE13,yes,Schleswig-Holstein,Hemminstedt,Oil,Steam turbine,BNA1526,44.5,0.0,0.0,0.0,0.34
DE13,yes,Schleswig-Holstein,Kiel,Hard coal,Steam turbine,BNA0526,323.0,354.0,295.0,0.39,0.41
DE13,yes,Schleswig-Holstein,Kiel,Natural gas,Steam turbine,BNA0527,31.0,0.0,0.0,0.0,0.35
DE13,yes,Schleswig-Holstein,Neum?nster,Other fossil fuels,Steam turbine,BNA0693,53.6,0.0,0.0,0.0,0.33
DE13,yes,Schleswig-Holstein,Stapelfeld,Waste,Steam turbine,BNA1261,16.4,0.0,0.0,0.0,0.33
DE14,no,Bremen,Bremen,Hard coal,Steam turbine,BNA0147,350.0,397.0,26.0,0.0,0.44
DE14,no,Bremen,Bremen,Oil,Gas turbine,BNA0141,88.0,0.0,0.0,0.0,0.31
DE14,no,Bremen,Bremen,Other fossil fuels,Steam turbine,BNA0142,160.0,160.0,0.0,0.0,0.33
DE14,no,Bremen,Bremen,Other fossil fuels,Steam turbine,BNA0143,110.0,0.0,0.0,0.0,0.33
DE14,no,Bremen,Bremen,Waste,Steam turbine,BNA0139,33.0,0.0,0.0,0.0,0.33
DE14,no,Niedersachsen,Elsfleth,Natural gas,Gas turbine,BNA0239,321.0,321.0,0.0,0.42,0.4
DE14,no,Niedersachsen,Emden,Natural gas,Steam turbine,BNA0245a,50.0,0.0,0.0,0.42,0.36
DE14,no,Niedersachsen,Emden,Natural gas,Steam turbine,BNA0245b,380.0,0.0,0.0,0.42,0.36
DE14,no,Niedersachsen,Papenburg,Biomass and biogas,Steam turbine,BNA0775,20.0,0.0,0.0,0.0,0.38
DE14,no,Niedersachsen,Wilhelmshaven,Hard coal,Steam turbine,BNA1061,757.0,788.1,0.0,0.4,0.37
DE14,no,Niedersachsen,Wilhelmshaven,Oil,Gas turbine,BNA1060,56.0,0.0,0.0,0.0,0.31
