RE,chp,state,city,fuel,technology,capacity_n,capacity_g,chp_capaci
DE08,no,Nordrhein-Westfalen,K?ln,Other fossil fuels,Gas turbine,10.4,11.76,0.0
DE08,no,Rheinland-Pfalz,Koblenz,Hydro,Run-of-river,16.0,0.0,0.0
DE08,no,Rheinland-Pfalz,Lehmen,Hydro,Run-of-river,20.0,0.0,0.0
DE08,yes,Nordrhein-Westfalen,Bergheim,Lignite,Steam turbine,688.0,687.0,245.0
DE08,yes,Nordrhein-Westfalen,Bergheim,Natural gas,Steam turbine,3.0,0.0,0.0
DE08,yes,Nordrhein-Westfalen,Bonn,Natural gas,Steam turbine,109.4,0.0,0.0
DE08,yes,Nordrhein-Westfalen,Bonn,Waste,Steam turbine,12.0,0.0,0.0
DE08,yes,Nordrhein-Westfalen,D?ren,Lignite,Steam turbine,9.3,0.0,0.0
DE08,yes,Nordrhein-Westfalen,D?ren,Natural gas,Steam turbine,2.9,0.0,0.0
DE08,yes,Nordrhein-Westfalen,Eschweiler-Weisweiler,Lignite,Steam turbine,1307.0,1255.0,183.0
DE08,yes,Nordrhein-Westfalen,Euskirchen,Lignite,Steam turbine,14.5,0.0,0.0
DE08,yes,Nordrhein-Westfalen,Frechen,Lignite,Steam turbine,118.0,201.0,251.0
DE08,yes,Nordrhein-Westfalen,H?rth,Lignite,Steam turbine,203.0,107.0,0.0
DE08,yes,Nordrhein-Westfalen,H?rth,Waste,Steam turbine,33.4,0.0,0.0
DE08,yes,Nordrhein-Westfalen,J?lich,Lignite,Steam turbine,24.6,0.0,0.0
DE08,yes,Nordrhein-Westfalen,K?ln,Lignite,Steam turbine,75.3,85.42,0.0
DE08,yes,Nordrhein-Westfalen,K?ln,Natural gas,Combined cycle,571.8,531.0,450.0
DE08,yes,Nordrhein-Westfalen,K?ln,Natural gas,Steam turbine,15.5,17.58,0.0
DE08,yes,Nordrhein-Westfalen,K?ln,Oil,Combined cycle,80.0,215.0,235.0
DE08,yes,Nordrhein-Westfalen,K?ln,Other fossil fuels,Gas turbine,83.80000000000001,94.74000000000001,0.0
DE08,yes,Nordrhein-Westfalen,K?ln,Waste,Steam turbine,45.1,0.0,0.0
DE08,yes,Nordrhein-Westfalen,Weisweiler,Waste,Steam turbine,24.0,0.0,0.0
