class,Sink,Sink,Sink,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer
label,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
source,B_DE153_dhg_hhg,B_DE153_dhg_ind,B_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
target,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,B_DE152_dhg_el,B_DE152_dhg_gas_th,B_DE152_dhg_el,B_DE152_dhg_hc_th,B_DE152_dhg_el,B_DE152_dhg_gas_th
attribute,actual_value,actual_value,actual_value,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors
2050-01-04 14:00:00+00:00,1,0.8642697335,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 15:00:00+00:00,1,0.8578456385,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 16:00:00+00:00,1,0.8687051066,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 17:00:00+00:00,1,0.9168531093,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 18:00:00+00:00,1,0.9154662375,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 19:00:00+00:00,1,0.8941659798,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 20:00:00+00:00,1,0.8499038348,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 21:00:00+00:00,1,0.8182020384,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 22:00:00+00:00,1,0.8079836715,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 23:00:00+00:00,1,0.7572581806,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 00:00:00+00:00,1,0.7165809685,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 01:00:00+00:00,1,0.6889351179,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 02:00:00+00:00,1,0.6707226126,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 03:00:00+00:00,1,0.6623882979,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 04:00:00+00:00,1,0.6664442438,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 05:00:00+00:00,1,0.6925723856,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 06:00:00+00:00,1,0.7492640421,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 07:00:00+00:00,1,0.8290353391,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 08:00:00+00:00,1,0.8607763865,1,0.55,0.26,0.4,0.48,0.38,0.42
